model,key,image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
PP-OCRv6_medium,ocrv6_medium,form_13.jpg,form,0.9776951672862454,0.8795986622073578,0.926056338028169,0.7587496660432808,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_14.jpg,form,0.963302752293578,0.9752321981424149,0.9692307692307692,0.5699839117444265,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_15.jpg,form,0.9592875318066157,0.9262899262899262,0.9424999999999999,0.5083672546359114,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_16.jpg,form,0.19626168224299065,0.9545454545454546,0.32558139534883723,0.18114406779661016,0,0,
PP-OCRv6_medium,ocrv6_medium,form_17.jpg,form,0.9693251533742331,0.8586956521739131,0.9106628242074928,0.741852487135506,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_18.jpg,form,0.8831168831168831,0.9577464788732394,0.918918918918919,0.8753117206982544,0,0,
PP-OCRv6_medium,ocrv6_medium,form_19.jpg,form,0.7906976744186046,0.9855072463768116,0.8774193548387097,0.6679280983916746,0,0,
PP-OCRv6_medium,ocrv6_medium,form_20.jpg,form,0.9367816091954023,0.9314285714285714,0.9340974212034384,0.8808732795443759,4,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_21.jpg,form,0.5954545454545455,1.0,0.7464387464387464,0.3855641845591594,0,0,
PP-OCRv6_medium,ocrv6_medium,form_22.jpg,form,0.6287128712871287,0.5141700404858299,0.5657015590200445,0.26653239342061097,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_23.jpg,form,0.8059701492537313,0.8756756756756757,0.839378238341969,0.796812749003984,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_01.jpg,invoice,0.9655172413793104,0.875,0.9180327868852458,0.7743589743589744,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_02.jpg,invoice,0.9230769230769231,0.96,0.9411764705882353,0.996742671009772,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_03.jpg,invoice,0.9,1.0,0.9473684210526316,0.8831168831168831,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_04.jpg,invoice,0.6808510638297872,0.9696969696969697,0.7999999999999999,0.7901234567901234,3,0,0.0
PP-OCRv6_medium,ocrv6_medium,invoice_05.jpg,invoice,0.7094017094017094,0.9222222222222223,0.8019323671497586,0.7909604519774012,2,0,0.0
